filepath,hour,minute,second,label
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,4,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,5,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,5,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,5,20,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,5,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,5,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,5,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,6,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,6,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,6,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,6,30,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,6,40,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,6,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,7,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,7,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,7,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,7,30,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,7,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,7,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,8,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,8,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,8,20,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,8,30,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,8,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,8,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,9,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,9,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,9,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,9,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,9,40,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,9,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,10,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,10,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,10,20,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,10,30,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,10,40,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,10,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,11,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250330.pkl,19,11,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,36,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,36,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,36,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,37,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,37,20,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,37,30,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,37,40,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,37,50,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,38,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,38,10,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,41,0,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,41,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,41,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,44,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,44,50,1
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,45,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,45,10,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,45,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,45,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,45,40,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,45,50,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,46,0,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,47,0,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,47,10,6
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,47,20,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,47,30,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,47,40,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p1\user_inter_001_living_normal_question\20250404.pkl,13,47,50,5
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,0,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,0,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,0,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,0,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,1,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,1,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,1,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,1,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,1,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,1,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,2,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,2,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,2,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,2,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,2,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,2,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,3,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,3,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,3,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,3,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,3,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,4,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,4,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,4,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,4,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,4,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,4,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,5,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,5,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,5,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,5,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,5,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,5,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,6,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,6,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,6,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,6,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,6,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,6,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,7,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,7,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,7,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,7,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,7,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,7,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,8,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,8,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,8,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,8,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,8,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,8,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,9,0,3
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,9,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,9,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,9,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,9,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,9,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,10,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,10,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,10,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,10,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,10,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,11,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,11,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,11,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,11,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,11,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,11,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,12,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,12,10,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,12,20,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,12,30,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,12,40,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,12,50,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,13,0,2
D:\OneDrive\文档\Yilin\Edinburgh\MSc project\codebase\Data\p2\user002 living art\20250311.pkl,21,13,10,2
